Name,Ticker,ISIN,SecId,Global Broad Category Group,Average Eff Duration Survey,Fixd-Inc Eff Dur - Avg yrs (Calc) (Long) (FI%),Average Mod Duration Survey,Portfolio Risk Score,Portfolio Risk Score Date
AAM/Phocas Real Estate I,APRIX,US46141Q2387,FOUSA05KKV,Equity,,,,107.96,7/31/2022
AAMA Equity,AMFEX,US0454198435,F00000YSY7,Equity,,,,85.48,7/31/2022
AAMA Income,AMFIX,US0454198351,F00000YSY8,Fixed Income,,,,7.87,7/31/2022
AB All China Equity A,ACEAX,US0025421084,F000010GIB,Equity,,,,147.07,7/31/2022
AB All China Equity Advisor,ACEYX,US0025422074,F000010GIA,Equity,,,,147.30,7/31/2022
AB All Market Income A,MRKAX,US01878T1869,F00000U3B0,Allocation,4.11,,,77.74,7/31/2022
AB All Market Income Advisor,MRKYX,US01878T1604,F00000U3AZ,Allocation,4.11,,,77.86,7/31/2022
AB All Market Income C,MRKCX,US01878T1786,F00000U3B1,Allocation,4.11,,,77.67,7/31/2022
AB All Market Real Return 1,AMTOX,US0185283647,F000005NEJ,Equity,,,,104.05,7/31/2022
AB All Market Real Return 2,AMTTX,US0185283563,F000005NEK,Equity,,,,104.01,7/31/2022
AB All Market Real Return A,AMTAX,US0185284306,F000005NEG,Equity,,,,103.89,7/31/2022
AB All Market Real Return Advisor,AMTYX,US0185284223,F000005NEI,Equity,,,,103.83,7/31/2022
AB All Market Real Return C,ACMTX,US0185284140,F000005NEH,Equity,,,,103.93,7/31/2022
AB All Market Real Return I,AMTIX,US0185283720,F000005NEN,Equity,,,,104.16,7/31/2022
AB All Market Real Return K,AMTKX,US0185283803,F000005NEM,Equity,,,,103.89,7/31/2022
AB All Market Real Return R,AMTRX,US0185283985,F000005NEL,Equity,,,,104.01,7/31/2022
AB All Market Real Return Z,AMTZX,US0185281252,F00000SJ20,Equity,,,,103.83,7/31/2022
AB All Market Total Return A,ABWAX,US01877F6584,FOUSA04BQQ,Allocation,6.01,,,71.24,7/31/2022
AB All Market Total Return Advisor,ABWYX,US01877F6253,FOUSA04BQN,Allocation,6.01,,,71.44,7/31/2022
AB All Market Total Return C,ABWCX,US01877F6337,FOUSA04BQP,Allocation,6.01,,,71.36,7/31/2022
AB All Market Total Return I,ABWIX,US01877F4274,FOUSA05BKK,Allocation,6.01,,,71.39,7/31/2022
AB All Market Total Return K,ABWKX,US01877F4357,FOUSA05BKJ,Allocation,6.01,,,71.41,7/31/2022
AB All Market Total Return R,ABWRX,US01877F5180,FOUSA058RR,Allocation,6.01,,,71.37,7/31/2022
AB Bond Inflation Strategy 1,ABNOX,US0185285139,F000005MIE,Fixed Income,3.11,,,24.14,7/31/2022
AB Bond Inflation Strategy 2,ABNTX,US0185284975,F000005MIF,Fixed Income,3.11,,,24.32,7/31/2022
AB Bond Inflation Strategy A,ABNAX,US0185285709,F000005HHI,Fixed Income,3.11,,,24.15,7/31/2022
AB Bond Inflation Strategy Advisor,ABNYX,US0185285626,F000005HHV,Fixed Income,3.11,,,23.97,7/31/2022
AB Bond Inflation Strategy C,ABNCX,US0185285543,F000005HHU,Fixed Income,3.11,,,24.25,7/31/2022
AB Bond Inflation Strategy I,ANBIX,US0185285212,F000005MII,Fixed Income,3.11,,,24.16,7/31/2022
AB Bond Inflation Strategy K,ABNKX,US0185285394,F000005MIH,Fixed Income,3.11,,,24.25,7/31/2022
AB Bond Inflation Strategy R,ABNRX,US0185285477,F000005MIG,Fixed Income,3.11,,,24.09,7/31/2022
AB Bond Inflation Strategy Z,ABNZX,US01881M4758,F00000V3ID,Fixed Income,3.11,,,24.17,7/31/2022
AB Concentrated Growth A,WPASX,US01878T7072,F00000QGYD,Equity,,,,108.59,7/31/2022
AB Concentrated Growth Advisor,WPSGX,US01878T8484,FOUSA00K3V,Equity,,,,108.67,7/31/2022
AB Concentrated Growth C,WPCSX,US01878T8062,F00000QGYE,Equity,,,,108.63,7/31/2022
AB Concentrated Growth I,WPSIX,US01878T8633,F00000QGYF,Equity,,,,108.76,7/31/2022
AB Concentrated Growth K,WPSKX,US01878T8716,F00000QGYG,Equity,,,,108.65,7/31/2022
AB Concentrated Growth R,WPRSX,US01878T8898,F00000QGYH,Equity,,,,108.70,7/31/2022
AB Concentrated Growth Z,WPSZX,US01878T8559,F00000QGYI,Equity,,,,108.72,7/31/2022
AB Concentrated International Growth A,CIAGX,US01878T4913,F00000SZI4,Equity,,,,111.02,7/31/2022
AB Concentrated International Growth Adv,CIGYX,US01878T4756,F00000SZI2,Equity,,,,111.01,7/31/2022
AB Concentrated International Growth C,CICGX,US01878T4830,F00000SZI5,Equity,,,,111.20,7/31/2022
AB Core Opportunities A,ADGAX,US01879K1016,FOUSA00P5D,Equity,,,,93.79,7/31/2022
AB Core Opportunities Advisor,ADGYX,US01879K7054,F00000GWPS,Equity,,,,93.88,7/31/2022
AB Core Opportunities C,ADGCX,US01879K3095,FOUSA02T2D,Equity,,,,93.84,7/31/2022
AB Core Opportunities I,ADGIX,US01879K6064,FOUSA05BK5,Equity,,,,93.82,7/31/2022
AB Core Opportunities K,ADGKX,US01879K5074,FOUSA05BK4,Equity,,,,93.70,7/31/2022
AB Core Opportunities R,ADGRX,US01879K4085,FOUSA056OE,Equity,,,,93.71,7/31/2022
AB Core Opportunities Z,ADGZX,US01879K8045,F00000QK4L,Equity,,,,93.74,7/31/2022
AB Corporate Income,ACISX,US01879V1070,FOUSA05U6L,Fixed Income,8.27,,,46.10,7/31/2022
AB Discovery Growth A,CHCLX,US0186361004,FOUSA00BNM,Equity,,,,143.31,7/31/2022
AB Discovery Growth Advisor,CHCYX,US0186364073,FOUSA00J0F,Equity,,,,143.24,7/31/2022
AB Discovery Growth C,CHCCX,US0186363083,FOUSA00C45,Equity,,,,142.94,7/31/2022
AB Discovery Growth I,CHCIX,US0186367043,FOUSA05BLG,Equity,,,,143.15,7/31/2022
AB Discovery Growth K,CHCKX,US0186366052,FOUSA05BLR,Equity,,,,143.22,7/31/2022
AB Discovery Growth R,CHCRX,US0186365062,FOUSA05BKX,Equity,,,,143.15,7/31/2022
AB Discovery Growth Z,CHCZX,US0186368033,F00000TIA0,Equity,,,,143.11,7/31/2022
AB Discovery Value A,ABASX,US0189141015,FOUSA02TG7,Equity,,,,144.46,7/31/2022
AB Discovery Value Advisor,ABYSX,US0189144084,FOUSA02TGF,Equity,,,,144.34,7/31/2022
AB Discovery Value C,ABCSX,US0189143094,FOUSA02TG4,Equity,,,,144.30,7/31/2022
AB Discovery Value I,ABSIX,US0189147053,FOUSA05BKA,Equity,,,,144.32,7/31/2022
AB Discovery Value K,ABSKX,US0189146063,FOUSA05BK9,Equity,,,,144.40,7/31/2022
AB Discovery Value R,ABSRX,US0189145073,FOUSA058RE,Equity,,,,144.20,7/31/2022
AB Discovery Value Z,ABSZX,US0189148044,F00000QK4M,Equity,,,,144.43,7/31/2022
AB Diversified Municipal,SNDPX,US0855684009,FOUSA00EUA,Fixed Income,3.63,4.34,,17.90,7/31/2022
AB Emerging Markets,SNEMX,US0855688638,FOUSA00KC8,Equity,,,,145.13,7/31/2022
AB Emerging Markets Multi-Asset A,ABAEX,US01877E5520,F00000MLBV,Equity,,6.84,,120.63,7/31/2022
AB Emerging Markets Multi-Asset Advisor,ABYEX,US01877E5454,F00000MLBX,Equity,,6.84,,120.20,7/31/2022
AB Emerging Markets Multi-Asset C,ABCEX,US01877E5371,F00000MLBW,Equity,,6.84,,120.02,7/31/2022
AB Emerging Markets Multi-Asset I,ABIEX,US01877E5298,F00000MLC0,Equity,,6.84,,120.25,7/31/2022
AB Emerging Markets Multi-Asset K,ABKEX,US01877E5116,F00000MLBZ,Equity,,6.84,,120.77,7/31/2022
AB Emerging Markets Multi-Asset R,ABREX,US01877E4952,F00000MLBY,Equity,,6.84,,120.33,7/31/2022
AB Emerging Markets Multi-Asset Z,ABZEX,US01878H7456,F00000ZCH9,Equity,,6.84,,120.15,7/31/2022
AB Equity Income A,AUIAX,US0187911039,FOUSA00CH4,Equity,,,,95.39,7/31/2022
AB Equity Income Advisor,AUIYX,US0187914009,FOUSA00HE9,Equity,,,,95.38,7/31/2022
AB Equity Income C,AUICX,US0187913019,FOUSA00DD9,Equity,,,,95.33,7/31/2022
AB Equity Income I,AUIIX,US0187917077,FOUSA05BLL,Equity,,,,95.29,7/31/2022
AB Equity Income K,AUIKX,US0187916087,FOUSA05BLW,Equity,,,,95.33,7/31/2022
AB Equity Income R,AUIRX,US0187915097,FOUSA05BL4,Equity,,,,95.26,7/31/2022
AB Equity Income Z,AUIZX,US0187918067,F00000QK4N,Equity,,,,95.37,7/31/2022
AB Global Bond A,ANAGX,US01853W1053,FOUSA00B3N,Fixed Income,7.52,,,20.05,7/31/2022
AB Global Bond Advisor,ANAYX,US01853W7092,FOUSA06MKF,Fixed Income,7.52,,,19.69,7/31/2022
AB Global Bond C,ANACX,US01853W3034,FOUSA00C9E,Fixed Income,7.52,,,19.77,7/31/2022
AB Global Bond I,ANAIX,US01853W6003,FOUSA06MKE,Fixed Income,7.52,,,19.80,7/31/2022
AB Global Bond K,ANAKX,US01853W5013,FOUSA06MKD,Fixed Income,7.52,,,19.95,7/31/2022
AB Global Bond R,ANARX,US01853W4024,FOUSA06MKB,Fixed Income,7.52,,,19.71,7/31/2022
AB Global Bond Z,ANAZX,US01853W8082,F00000QK4O,Fixed Income,7.52,,,19.72,7/31/2022
AB Global Core Equity A,GCEAX,US01878T2693,F00000U3BC,Equity,,,,101.37,7/31/2022
AB Global Core Equity Advisor,GCEYX,US01878T2446,F00000U3BB,Equity,,,,101.22,7/31/2022
AB Global Core Equity C,GCECX,US01878T2511,F00000U3B6,Equity,,,,101.12,7/31/2022
AB Global Real Estate Investment A,AREAX,US01877G1022,FOUSA00BN4,Equity,,,,109.52,7/31/2022
AB Global Real Estate Investment Advisor,ARSYX,US01877G4091,FOUSA00KY0,Equity,,,,109.59,7/31/2022
AB Global Real Estate Investment C,ARECX,US01877G3002,FOUSA00H68,Equity,,,,109.37,7/31/2022
AB Global Real Estate Investment I,AEEIX,US01877G7060,FOUSA05BLJ,Equity,,,,109.42,7/31/2022
AB Global Real Estate Investment II I,ARIIX,US0189075015,FOUSA00JO4,Equity,,,,109.37,7/31/2022
AB Global Real Estate Investment K,ARRKX,US01877G6070,FOUSA05BLU,Equity,,,,109.49,7/31/2022
AB Global Real Estate Investment R,ARRRX,US01877G5080,FOUSA05BL2,Equity,,,,109.36,7/31/2022
AB Global Risk Allocation A,CABNX,US0185251057,FOUSA00E3L,Allocation,,4.81,,65.48,7/31/2022
AB Global Risk Allocation Adv,CBSYX,US0185255017,FOUSA00KQ6,Allocation,,4.81,,65.31,7/31/2022
AB Global Risk Allocation C,CBACX,US0185254028,FOUSA00C1H,Allocation,,4.81,,65.33,7/31/2022
AB Global Risk Allocation I,CABIX,US0185258086,FOUSA05BMV,Allocation,,4.81,,65.54,7/31/2022
AB Global Risk Allocation K,CBSKX,US0185257096,FOUSA05BMU,Allocation,,4.81,,65.46,7/31/2022
AB Global Risk Allocation R,CBSRX,US0185256007,FOUSA056OD,Allocation,,4.81,,65.51,7/31/2022
AB Growth A,AGRFX,US01877F4019,FOUSA00CAQ,Equity,,,,108.54,7/31/2022
AB Growth Advisor,AGRYX,US01877F7574,FOUSA00FXL,Equity,,,,108.53,7/31/2022
AB Growth C,AGRCX,US01877F6097,FOUSA00B64,Equity,,,,108.45,7/31/2022
AB Growth I,AGFIX,US01877F4688,FOUSA05BLK,Equity,,,,108.59,7/31/2022
AB Growth K,AGFKX,US01877F4761,FOUSA05BLV,Equity,,,,108.54,7/31/2022
AB Growth R,AGFRX,US01877F4845,FOUSA05BKW,Equity,,,,108.48,7/31/2022
AB High Income A,AGDAX,US01859M1018,FOUSA00CHD,Fixed Income,3.92,,,73.98,7/31/2022
AB High Income Advisor,AGDYX,US01859M4087,FOUSA06P37,Fixed Income,3.92,,,74.33,7/31/2022
AB High Income C,AGDCX,US01859M3097,FOUSA00FKJ,Fixed Income,3.92,,,74.64,7/31/2022
AB High Income I,AGDIX,US01859M5076,FOUSA06P0O,Fixed Income,3.92,,,74.04,7/31/2022
AB High Income K,AGDKX,US01859M6066,FOUSA06P0N,Fixed Income,3.92,,,74.38,7/31/2022
AB High Income Municipal A,ABTHX,US0186427516,F000005HHK,Fixed Income,8.21,9.25,,46.90,7/31/2022
AB High Income Municipal Advisor,ABTYX,US0186427441,F000005HHZ,Fixed Income,8.21,9.25,,46.47,7/31/2022
AB High Income Municipal C,ABTFX,US0186427367,F000005HHX,Fixed Income,8.21,9.25,,46.32,7/31/2022
AB High Income Municipal Z,ABTZX,US0186427284,F0000119KW,Fixed Income,8.21,9.25,,46.68,7/31/2022
AB High Income R,AGDRX,US01859M7056,FOUSA06P0M,Fixed Income,3.92,,,74.52,7/31/2022
AB High Income Z,AGDZX,US01859M8047,F00000QK4P,Fixed Income,3.92,,,74.31,7/31/2022
AB High Yield Portfolio A,HIAYX,US01881M3438,F0000173WR,Fixed Income,3.90,,,,
AB High Yield Portfolio Advisor,HIYYX,US01881M6993,F00000SKVW,Fixed Income,3.90,,,59.47,7/31/2022
AB High Yield Portfolio Z,HIZYX,US01881M3354,F0000173WQ,Fixed Income,3.90,,,,
AB Impact Municipal Income,ABIMX,US01879V6020,F00000Z3OR,Fixed Income,6.43,8.89,,30.48,7/31/2022
AB Income A,AKGAX,US01881M4675,F00000W6GR,Fixed Income,7.16,,,34.51,7/31/2022
AB Income Advisor,ACGYX,US01881M4428,F00000W6GT,Fixed Income,7.16,,,34.11,7/31/2022
AB Income C,AKGCX,US01881M4592,F00000W6GS,Fixed Income,7.16,,,34.07,7/31/2022
AB Income Z,ACGZX,US01881M3503,F00000W6GX,Fixed Income,7.16,,,34.20,7/31/2022
AB Intermediate California Municipal A,AICAX,US0855688141,FOUSA02UI3,Fixed Income,3.50,4.61,,17.51,7/31/2022
AB Intermediate California Municipal Adv,AICYX,US0855684421,F00000VPD5,Fixed Income,3.50,4.61,,17.42,7/31/2022
AB Intermediate California Municipal C,ACMCX,US0855687804,FOUSA02UI2,Fixed Income,3.50,4.61,,17.40,7/31/2022
AB Intermediate Diversified Muni A,AIDAX,US0855687721,FOUSA02UHV,Fixed Income,3.63,4.34,,17.83,7/31/2022
AB Intermediate Diversified Muni Adv,AIDYX,US0855684835,F00000VPD6,Fixed Income,3.63,4.34,,17.86,7/31/2022
AB Intermediate Diversified Muni C,AIMCX,US0855687564,FOUSA02UHX,Fixed Income,3.63,4.34,,17.71,7/31/2022
AB Intermediate Diversified Muni Z,AIDZX,US0855684264,F000010FPI,Fixed Income,3.63,4.34,,17.86,7/31/2022
AB Intermediate Duration A,IDPAX,US0855684181,F000013KQD,Fixed Income,6.25,,,20.28,7/31/2022
AB Intermediate Duration Advisor,IDPYX,US0855683845,F000013KQC,Fixed Income,6.25,,,20.33,7/31/2022
AB Intermediate Duration Z,IDPZX,US0855683928,F000013KQE,Fixed Income,6.25,,,20.43,7/31/2022
AB Intermediate New York Municipal A,ANIAX,US0855688489,FOUSA02UHY,Fixed Income,3.95,4.43,,19.08,7/31/2022
AB Intermediate New York Municipal Adv,ANIYX,US0855684348,F00000VPD7,Fixed Income,3.95,4.43,,19.10,7/31/2022
AB Intermediate New York Municipal C,ANMCX,US0855688224,FOUSA02UI0,Fixed Income,3.95,4.43,,19.05,7/31/2022
AB International Small Cap Adv,IRCYX,US0855678571,F00000WBZI,Equity,,,,123.10,7/31/2022
AB International Small Cap Z,IRCZX,US0855678167,F00000WBZP,Equity,,,,122.90,7/31/2022
AB International Strat Eqs Adv,STEYX,US0855674026,F00000WBZQ,Equity,,,,104.26,7/31/2022
AB International Strat Eqs Z,STEZX,US0855678084,F00000WBZX,Equity,,,,104.18,7/31/2022
AB International Strategic Core A,ISARX,US01878H1095,F00000VSKR,Equity,,,,87.11,7/31/2022
AB International Strategic Core Advisor,ISRYX,US01878H3075,F00000VSKO,Equity,,,,87.32,7/31/2022
AB International Strategic Core C,ISCRX,US01878H2085,F00000VSKS,Equity,,,,87.15,7/31/2022
AB International Strategic Core Z,ISZRX,US01878H7035,F00000VSKW,Equity,,,,87.33,7/31/2022
AB International Value A,ABIAX,US0189131032,FOUSA02UP3,Equity,,,,129.63,7/31/2022
AB International Value Advisor,ABIYX,US0189134002,FOUSA02UP8,Equity,,,,129.77,7/31/2022
AB International Value C,ABICX,US0189133012,FOUSA02UP7,Equity,,,,129.63,7/31/2022
AB International Value I,AIVIX,US0189137070,FOUSA05BKF,Equity,,,,129.89,7/31/2022
AB International Value K,AIVKX,US0189136080,FOUSA05BKD,Equity,,,,129.67,7/31/2022
AB International Value R,AIVRX,US0189135090,FOUSA058RG,Equity,,,,129.93,7/31/2022
AB Large Cap Growth A,APGAX,US01877C1018,FOUSA00B92,Equity,,,,100.51,7/31/2022
AB Large Cap Growth Advisor,APGYX,US01877C4087,FOUSA00KSW,Equity,,,,100.55,7/31/2022
AB Large Cap Growth C,APGCX,US01877C3097,FOUSA00CA2,Equity,,,,100.51,7/31/2022
AB Large Cap Growth I,ALLIX,US01877C7056,FOUSA05BJV,Equity,,,,100.57,7/31/2022
AB Large Cap Growth K,ALCKX,US01877C6066,FOUSA05BJW,Equity,,,,100.47,7/31/2022
AB Large Cap Growth R,ABPRX,US01877C5076,FOUSA058RC,Equity,,,,100.46,7/31/2022
AB Large Cap Growth Z,APGZX,US01878H8850,F00000W0CU,Equity,,,,100.55,7/31/2022
AB Limited Duration High Income A,ALHAX,US0185283498,F00000N1MQ,Fixed Income,2.89,,,55.69,7/31/2022
AB Limited Duration High Income Advisor,ALHYX,US0185283316,F00000N1MN,Fixed Income,2.89,,,55.85,7/31/2022
AB Limited Duration High Income C,ALHCX,US0185283233,F00000N1MR,Fixed Income,2.89,,,55.69,7/31/2022
AB Limited Duration High Income I,ALIHX,US0185283159,F00000N1MS,Fixed Income,2.89,,,55.69,7/31/2022
AB Limited Duration High Income K,ALHKX,US0185282995,F00000N1MT,Fixed Income,2.89,,,55.60,7/31/2022
AB Limited Duration High Income R,ALHRX,US0185282813,F00000N1MU,Fixed Income,2.89,,,55.67,7/31/2022
AB Municipal Bond Inflation Strategy 1,AUNOX,US0185284553,F000005MIJ,Fixed Income,1.62,5.18,,26.87,7/31/2022
AB Municipal Bond Inflation Strategy 2,AUNTX,US0185284488,F000005MIK,Fixed Income,1.62,5.18,,27.08,7/31/2022
AB Municipal Bond Inflation Strategy A,AUNAX,US0185284892,F000005HHJ,Fixed Income,1.62,5.18,,27.02,7/31/2022
AB Municipal Bond Inflation Strategy Adv,AUNYX,US0185284710,F000005HHW,Fixed Income,1.62,5.18,,27.09,7/31/2022
AB Municipal Bond Inflation Strategy C,AUNCX,US0185284637,F000005HHY,Fixed Income,1.62,5.18,,26.92,7/31/2022
AB Municipal Income,MISHX,US01879V2060,F00000HL6D,Fixed Income,6.33,8.70,,47.30,7/31/2022
AB Municipal Income California A,ALCAX,US0186423069,FOUSA00B3P,Fixed Income,5.84,7.05,,24.75,7/31/2022
AB Municipal Income California Advisor,ALCVX,US0186427854,FOUSA07WYN,Fixed Income,5.84,7.05,,24.76,7/31/2022
AB Municipal Income California C,ACACX,US0186428506,FOUSA00C6C,Fixed Income,5.84,7.05,,24.48,7/31/2022
AB Municipal Income II Arizona A,AAZAX,US01864E7976,FOUSA00FF8,Fixed Income,5.04,6.29,,21.67,7/31/2022
AB Municipal Income II Arizona Adv,AAZYX,US01864E5731,F000005IEH,Fixed Income,5.04,6.29,,,
AB Municipal Income II Arizona C,AAZCX,US01864E7711,FOUSA00EC6,Fixed Income,5.04,6.29,,21.86,7/31/2022
AB Municipal Income II Massachusetts A,AMAAX,US01864E7638,FOUSA00BQ8,Fixed Income,4.99,7.12,,21.96,7/31/2022
AB Municipal Income II Massachusetts Adv,AMAYX,US01864E1102,F000005IEI,Fixed Income,4.99,7.12,,22.01,7/31/2022
