Name,SecId,Morningstar Category,Base Currency,Cat#,#Months,US Equity,DM ex-US Equity,EM Equity,US Bond,Non-US Bond, Cash,#N/A,#N/A,R^2,Beta,Idiosyncratic Risk (Standard Error of Regression),Equity,Base Risk Score,Base Alignment Score,Global Tilt,US Equity,DM ex-US Equity,EM Equity,US Bond,Non-US Bond, Cash,#N/A,#N/A,US Equity,DM ex-US Equity,EM Equity,US Bond,Non-US Bond, Cash,#N/A,#N/A,Std of Returns,Std of RBSA Benchmark,Ratio of SDs,Risk Score,Active Risk (Alignment Score),Misfit Risk,Residual Risk,Asset Allocation Risk,Blended Benchmark Risk,Cov
InvestEd 20 Portfolio,F00000Z70M,US Fund Allocation--15% to 30% Equity,US Dollar,1,48,0.173850393,0.036303787,0.034082321,0.449160192,0.05254341,0.254059898,0,0,0.973850303,0.99992746,0.225614851,24.42365001,23.13748798,31.50275232,0,0.179189207,0.051457115,0.000728558,0.585082236,0.123907163,0.059635721,0,0,-0.619079663,-1.926230339,8.080651085,6.983455939,2.903566025,-0.07758335,0,0,1.197660627,1.176218056,1.018230098,23.55928666,1.630014957,0.79396937,0.836045587,22.72324107,22.72324107,-0.396984685
JHancock Multi-Asset High Income R6,F00000SK7H,US Fund Allocation--15% to 30% Equity,US Dollar,1,48,0.139379043,0.227584324,0.092906474,1.36E-12,0.540130158,1.94E-10,0,0,0.883687625,1.014596224,0.851999787,45.98698414,48.74490045,102.4103484,0,0.370890329,0.09437245,0.022186225,0.389413247,0.070951524,0.052186225,0,0,14.1539249,5.498626913,7.885519165,-0.231499437,4.243308893,-0.021395909,0,0,2.338380784,2.177641168,1.073813638,52.34293888,10.03957488,3.090826134,6.948748743,45.39419014,45.39419014,-1.545413067
JHancock Multi-Index Lifestyle Cnsrv 1,F00000QI05,US Fund Allocation--15% to 30% Equity,US Dollar,1,48,0.163850499,0.097306861,0.064945688,0.345067974,0.328828978,6.73E-10,0,0,0.952230404,1.022334487,0.408544996,32.61030478,34.66000132,48.76415475,0,0.25490858,0.077794289,0.013897144,0.496194276,0.104154283,0.053051428,0,0,5.467531738,0.362921934,6.523269235,-1.18635303,3.391764268,-0.022787607,0,0,1.652154365,1.6008451,1.032051362,35.77090157,3.116233869,0.928933469,2.187300401,33.58360117,33.58360117,-0.464466734
JHancock Multimanager Lifestyle Cnsrv 1,FOUSA05COV,US Fund Allocation--15% to 30% Equity,US Dollar,1,48,0.101237098,0.12700728,0.096219973,0.302533911,0.368160979,0.004840759,0,0,0.948257157,0.998177719,0.40803432,32.44643509,34.95516647,59.02496908,0,0.256848237,0.078468952,0.014234476,0.493917287,0.103648286,0.052882762,0,0,14.79955009,1.09377117,13.12922075,-1.407181319,3.23571938,-0.033157783,0,0,1.663387958,1.612565501,1.031516523,36.05683179,4.540168736,2.370497935,2.169670801,33.88716098,33.88716098,-1.185248967
JHancock Retirement Income 2040 R6,F00000YOOJ,US Fund Allocation--15% to 30% Equity,US Dollar,1,48,0.124583575,3.15E-15,0.003052926,0.872363499,2.04E-15,5.39E-16,0,0,0.917273191,1.33777071,0.490947454,12.76365007,27.75173485,87.42644992,0,0.2095114,0.062003965,0.006001983,0.549486617,0.115997026,0.056999009,0,0,10.63289578,15.16360168,0.50629347,38.29277238,-4.589151558,-0.149353351,0,0,1.424293559,1.337005138,1.065286526,29.56354921,11.13892393,7.626333,3.512590928,26.05095828,26.05095828,-3.8131665
JNL Conservative Allocation A,F00000NBB6,US Fund Allocation--15% to 30% Equity,US Dollar,1,48,0.128173268,0.11447603,0.10643647,0.134905071,0.512338127,0.003671033,0,0,0.945102143,0.999930281,0.446453235,34.90857684,36.99525079,62.95547694,0,0.270254505,0.083132002,0.016566001,0.478179494,0.100150999,0.051717,0,0,10.38800979,0.655695779,14.48757083,1.050609027,4.72699637,-0.013953094,0,0,1.75219313,1.694361317,1.034131925,38.2579699,4.938840624,2.455078934,2.483761691,35.77420821,35.77420821,-1.227539467
JNL/Goldman Sachs Managed Conservative A,FVUSA04AQI,US Fund Allocation--15% to 30% Equity,US Dollar,1,48,0.170396713,0.080089613,0.081397037,0.24000728,0.388506815,0.039602541,0,0,0.950030384,0.999070732,0.409654711,33.18833644,34.16569928,50.91427035,0,0.25166031,0.076664455,0.013332228,0.500007463,0.105001658,0.053333886,0,0,3.134462977,0.087712118,10.80222871,2.126190081,1.803671141,-0.000691298,0,0,1.633488336,1.581286553,1.033012222,35.29358494,3.428804687,1.209077481,2.219727206,33.07385774,33.07385774,-0.60453874
Madison Conservative Allocation A,FOUSA05IIM,US Fund Allocation--15% to 30% Equity,US Dollar,1,48,0.199842672,0.039976277,0.028090544,0.552399824,0.090885876,0.088804807,0,0,0.970958731,1.000000473,0.270717777,26.79094928,27.03190086,28.1486683,0,0.204781063,0.060358631,0.005179315,0.555039622,0.117231027,0.057410342,0,0,-0.018971025,-0.226077655,2.191114864,0.011148004,0.150946583,0.004421587,0,0,1.338596166,1.310935384,1.021100035,27.60227491,1.220566455,0.091604588,1.128961867,26.47331304,26.47331304,-0.045802294
MassMutual 20/80 Allocation R5,F00000MAS8,US Fund Allocation--15% to 30% Equity,US Dollar,1,48,0.138514462,0.094813397,0.089288652,0.38211206,0.295271426,3.30E-09,0,0,0.9537953,1.017465403,0.394569336,32.26165112,35.18363706,53.16937902,0,0.258349615,0.07899117,0.014495585,0.4921548,0.103256622,0.052752207,0,0,10.57518615,0.152946954,11.66847688,-1.433502988,2.965183077,-0.039855037,0,0,1.668969898,1.621658275,1.029174842,36.2101141,3.674989155,1.65113344,2.023855715,34.18625838,34.18625838,-0.82556672
Meeder Conservative Allocation Retail,FOUSA00DZB,US Fund Allocation--15% to 30% Equity,US Dollar,1,48,0.123038267,0.142300922,0.042473181,0.383018443,0.057697235,0.251471951,0,0,0.920965618,0.997597682,0.46675241,30.78123703,30.89325144,55.47701359,0,0.230155652,0.069184575,0.009592287,0.52525206,0.110611569,0.055203856,0,0,0.969051534,6.215053381,4.832012744,3.060059483,1.031191827,0.099720421,0,0,1.5272964,1.454227108,1.050246135,32.44551793,4.280891331,1.250622267,3.030269065,29.41524886,29.41524886,-0.625311133
Morningstar Cnsrv ETF Asset Allc I,FOUSA06BKQ,US Fund Allocation--15% to 30% Equity,US Dollar,1,48,0.061882727,0.138143011,0.050855828,0.469493033,0.129090216,0.150535185,0,0,0.9734941,0.998642644,0.230868944,25.0881566,26.49360365,40.68675246,0,0.201243681,0.059128237,0.004564118,0.5591922,0.118153822,0.057717941,0,0,11.38671783,6.559918947,9.228270567,0.385362678,-0.079465446,0.105745422,0,0,1.312127094,1.291656704,1.015848166,26.91347868,2.587760518,1.754560898,0.833199621,26.08027906,26.08027906,-0.877280449
Nationwide Inv Dest Cnsrv Svc,FOUSA02T9E,US Fund Allocation--15% to 30% Equity,US Dollar,1,48,0.149929393,0.067449138,0.05119577,0.370577944,0.177454495,0.18339326,0,0,0.978137223,0.998132158,0.220621421,26.85743007,26.48665768,31.99765053,0,0.201198036,0.05911236,0.00455618,0.559245784,0.11816573,0.05772191,0,0,-1.848783147,0.89561214,12.09992197,6.969499365,-1.32485031,-0.005432475,0,0,1.310118894,1.291409193,1.014487817,26.87039154,1.602834777,0.840847128,0.761987649,26.10840389,26.10840389,-0.420423564
Nuveen Flexible Income I,F0000044V1,US Fund Allocation--15% to 30% Equity,US Dollar,1,48,0.233312281,0.073933246,0.121894107,1.23E-10,0.570860366,2.56E-13,0,0,0.870513254,1.07165416,0.917880336,42.91396344,47.99506746,103.567894,0,0.363954374,0.093997534,0.021998767,0.395036994,0.073013564,0.051998767,0,0,4.522215216,-0.035685197,11.48742764,0.064042536,6.190643713,-0.008769889,0,0,2.334171289,2.146124715,1.087621456,52.20046517,10.27683107,2.20483282,8.071998254,44.12846692,44.12846692,-1.10241641
Pacific Funds Port Optim Cnsrv A,FOUSA04BHF,US Fund Allocation--15% to 30% Equity,US Dollar,1,48,0.160043946,0.117842496,0.08033802,0.421353657,0.220421879,1.86E-09,0,0,0.966545928,1.016724098,0.361373959,35.82244619,38.56977988,49.01129983,0,0.280601411,0.086730925,0.018365463,0.466033127,0.097451806,0.050817269,0,0,10.97938743,0.662559534,9.579164172,-0.720161799,1.912180951,-0.046938617,0,0,1.79509906,1.758348514,1.020900604,39.37591157,2.935257614,1.339497924,1.595759689,37.78015188,37.78015188,-0.669748962
PIMCO Inflation Response MultiAsst Instl,F00000MISP,US Fund Allocation--15% to 30% Equity,US Dollar,1,48,0.032523205,0.242709049,0.13046194,3.00E-10,0.257662089,0.336643717,0,0,0.735905069,0.990469593,1.164310765,40.56941942,43.92430864,137.6319054,0,0.326299855,0.091962154,0.020981077,0.425567685,0.084208151,0.050981077,0,0,17.3601822,5.34538192,12.20840395,5.365974536,-1.320558749,0.176496807,0,0,2.294217655,1.976819439,1.160560044,50.97679758,18.34600717,5.216720244,13.12928693,37.84751065,37.84751065,-2.608360122
Principal Diversified Income Instl,FOUSA088VE,US Fund Allocation--15% to 30% Equity,US Dollar,1,48,0.01373646,0.31598161,0.171736871,6.50E-13,0.498545059,6.77E-13,0,0,0.794416091,1.055962009,1.328950198,50.14549413,59.73472084,172.7240971,0,0.472546168,0.09986736,0.02493368,0.306989594,0.040729518,0.05493368,0,0,43.58504205,6.679686231,18.57499157,-3.434248963,5.118968018,-0.050616,0,0,2.963103771,2.648372203,1.118839628,66.83357285,22.70946059,9.265774322,13.44368627,53.38988658,53.38988658,-4.632887161
Principal SAM Flexible Income A,FOUSA00J1F,US Fund Allocation--15% to 30% Equity,US Dollar,1,48,0.190273708,0.121104902,0.042687022,0.155513441,0.448927043,0.041493885,0,0,0.963582869,0.999113877,0.36635769,35.40656312,35.18750024,44.46573693,0,0.258375002,0.079000001,0.0145,0.492124998,0.10325,0.05275,0,0,0.809523428,2.065180367,3.068077164,6.824706068,1.509444299,0.004226129,0,0,1.662676365,1.621812177,1.025196622,36.07410638,2.580067829,0.828645997,1.751421832,34.32268454,34.32268454,-0.414322999
Rational Strategic Allocation A,F000002TGK,US Fund Allocation--15% to 30% Equity,US Dollar,1,48,0.295564209,0.456745854,4.39E-15,5.18E-15,0.247689938,6.42E-14,0,0,0.768580915,1.025374088,2.081021518,75.23100625,77.52482671,216.0299884,0,0.55022344,0.175024827,0.05,0.154809662,0.029958622,0.039983449,0,0,6.471518183,9.361666975,-0.425389551,-0.510216966,0.678891952,-0.011731971,0,0,4.023771887,3.443848086,1.16839413,90.57955243,26.10907892,1.881132301,24.22794662,66.35160581,66.35160581,-0.94056615
RESQ Strategic Income I,F00000QHRP,US Fund Allocation--15% to 30% Equity,US Dollar,1,48,6.55E-18,0.071595389,0.070408037,0.857996574,2.48E-15,7.90E-16,0,0,0.436427124,1.064966424,1.466412375,14.20034257,24.47083001,159.2245852,0,0.187951169,0.054504754,0.002252377,0.574796454,0.121621434,0.058873811,0,0,21.9113406,-1.47795321,-2.000651608,7.170908399,-1.367131387,-0.064265855,0,0,1.90821179,1.221027018,1.562792437,38.24282807,26.62668521,4.042257728,22.58442748,15.65840059,15.65840059,-2.021128864
Russell Inv Lifepoints Cnsrv Strat R5,FOUSA00K89,US Fund Allocation--15% to 30% Equity,US Dollar,1,48,0.050408324,0.193851155,0.075520651,0.095488599,0.58473118,9.14E-08,0,0,0.912290724,1.010786282,0.538096507,31.97801303,34.56481353,74.1751011,0,0.25428306,0.077576717,0.013788358,0.496928581,0.104317463,0.053105821,0,0,17.76544662,3.877030249,7.063827335,0.590732338,5.867278852,-0.024934765,0,0,1.685285297,1.597071909,1.05523445,36.47398199,7.06565795,3.347253194,3.718404756,32.75557723,32.75557723,-1.673626597
Schwab? Monthly Income Max Payout,FOUSA06R8Z,US Fund Allocation--15% to 30% Equity,US Dollar,1,48,0.081941732,0.091624076,0.011383952,0.696861189,0.101214751,0.016974299,0,0,0.983530817,0.999692971,0.167250017,18.49497603,21.50791297,29.75152233,0,0.167283768,0.047795362,0,0.563985273,0.119488405,0.101447191,0,0,19.23642582,-4.150052924,-0.734741257,6.686378238,-0.524978318,-0.163572072,0,0,1.117016992,1.104424914,1.011401479,21.75313499,1.543194551,1.055514896,0.487679655,21.26545533,21.26545533,-0.527757448
SEI Conservative Strategy F (SAAT),FOUSA05HF3,US Fund Allocation--15% to 30% Equity,US Dollar,1,48,0.089484173,0.134014723,0.022898157,5.57E-07,0.393619199,0.359983191,0,0,0.942731795,0.998729617,0.316507852,24.63970528,21.90848165,55.70130673,0,0.170399302,0.048685515,0,0.574489074,0.121713787,0.084712322,0,0,-6.802585721,12.49843662,4.31114915,36.42718948,-8.521113783,-0.196485446,0,0,1.168654188,1.124977951,1.038824083,22.75905835,5.170267547,3.500902838,1.669364709,21.08969364,21.08969364,-1.750451419
SEI Multi-Asset Cap Stability F (SIMT),F00000NBE4,US Fund Allocation--15% to 30% Equity,US Dollar,1,48,0.072756148,0.05300736,2.90E-11,0.206413754,6.82E-07,0.667822057,0,0,0.883530812,1.001658299,0.247760482,12.57635073,11.41398526,28.96688922,0,0.088775441,0.025364412,0,0.299300058,0.063411029,0.52314906,0,0,-1.340630482,3.265853011,3.59E-09,3.753150013,2.124338608,-0.027347246,0,0,0.641233901,0.591435254,1.08419966,12.37503894,2.525325368,0.677854069,1.847471299,10.52756764,10.52756764,-0.338927034
SEI Multi-Asset Inflation Mgd F (SIMT),F00000NBE6,US Fund Allocation--15% to 30% Equity,US Dollar,1,48,0.007178948,0.176539682,0.082874457,1.38E-11,2.13E-11,0.733406913,0,0,0.502536323,0.976276955,1.220478819,26.65930873,26.51124485,142.747672,0,0.201359609,0.05916856,0.00458428,0.559056111,0.11812358,0.05770786,0,0,0.024340719,6.601234677,8.445257724,19.97688862,3.170747219,0.17944186,0,0,1.777518014,1.292285472,1.375484018,36.46579358,23.51774713,6.326074145,17.19167298,19.2741206,19.2741206,-3.163037073
Thrivent Diversified Income Plus A,FOUSA00HMI,US Fund Allocation--15% to 30% Equity,US Dollar,1,48,0.204652533,0.154083394,0.076888409,3.16E-10,0.451522102,0.11285356,0,0,0.931726507,0.999060246,0.594822095,43.56243369,44.0711512,70.60116989,0,0.327658149,0.092035576,0.021017788,0.424466366,0.083804334,0.051017788,0,0,3.305921595,2.833196051,6.820397841,8.101421028,-0.574300001,0.000161979,0,0,2.070164788,1.982868862,1.044025063,46.01138639,5.35154621,1.552892806,3.798653404,42.21273298,42.21273298,-0.776446403
TIAA-CREF Lifestyle Income Institutional,F00000N1UH,US Fund Allocation--15% to 30% Equity,US Dollar,1,48,0.131954661,0.082660052,0.059866838,0.308918395,0.274735375,0.14186468,0,0,0.959178699,0.998654304,0.310533176,27.44815506,27.52275419,41.20178585,0,0.20800667,0.061480581,0.00574029,0.551253039,0.116389564,0.057129855,0,0,0.155159679,1.673722814,11.50527129,5.941395059,-1.481437294,0.00314189,0,0,1.364483206,1.328677374,1.026948477,28.26445049,2.577129476,1.113199962,1.463929514,26.80052097,26.80052097,-0.556599981
TOPS? Conservative ETF 2,F00000LNMA,US Fund Allocation--15% to 30% Equity,US Dollar,1,48,0.179460728,0.122050178,0.053238549,0.119087015,0.190883621,0.33527991,0,0,0.981134732,0.998995222,0.246468386,35.47494541,34.83210061,43.56902596,0,0.256039518,0.078187659,0.014093829,0.494866652,0.103859256,0.052953085,0,0,-2.624666281,4.630678492,7.588010151,23.30967539,-3.25215444,-0.025143797,0,0,1.626458098,1.607675116,1.011683319,35.23905517,2.528681895,1.719472456,0.809209439,34.42984573,34.42984573,-0.859736228
