Name,SecId,Morningstar Category,Base Currency,R^2,Base Risk Score,Leverage Ratio,MPRS,Alignment Score,Misfit Risk,Residual Risk,Asset Allocation Risk,Blended Benchmark Risk,Covariance of Asset Allocation & Misfit
Santander Atlas Portfolio 3 II,F0GBR04TFP,EAA Fund GBP Allocation 0-20% Equity,Pound Sterling,89.50%,27.85,1.06,29.65,4.09,0.59,3.5,26.15,26.15,-0.3
Santander Multi Index 1 RA,F00000WX7F,EAA Fund GBP Allocation 0-20% Equity,Pound Sterling,93.29%,35.2,1.04,36.78,6.17,3.08,3.09,33.69,33.69,-1.54
SEI GAF Defensive GBP Wealth A Inc,F00000GW7S,EAA Fund GBP Allocation 0-20% Equity,Pound Sterling,89.00%,5.44,1.07,5.83,2.55,1.8,0.76,5.07,5.07,-0.9
SPW Defensive Solution G Acc,F00001496K,EAA Fund GBP Allocation 0-20% Equity,Pound Sterling,87.60%,37.94,1.07,40.67,7.7,2.42,5.27,35.4,35.4,-1.21
Vanguard LifeStrategy 20% Eq A Grs Acc,F00000MLUK,EAA Fund GBP Allocation 0-20% Equity,Pound Sterling,98.61%,29.18,1.01,29.48,3.1,2.5,0.6,28.88,28.88,-1.25
WS Charteris Strategic Bond I Acc,F00000ZPCZ,EAA Fund GBP Allocation 0-20% Equity,Pound Sterling,52.96%,5.35,1.42,7.58,6.43,2.62,3.81,3.77,3.77,-1.31
7IM AAP Income B Acc,F0GBR04FTF,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,89.51%,57.86,1.05,60.8,9.89,4.16,5.74,55.06,55.06,-2.08
7IM AAP Moderately Cautious C Acc,F000001EZW,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,93.16%,40.24,1.04,41.79,3.68,0.64,3.04,38.75,38.75,-0.32
7IM Cautious S Acc,F00000VDJU,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,91.27%,29.1,1.05,30.63,3.81,0.83,2.98,27.64,27.64,-0.42
7IM Moderately Cautious C Acc,F0GBR05WOQ,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,90.84%,49.39,1.05,51.73,6.74,2.18,4.56,47.16,47.16,-1.09
7IM Personal Injury D Acc,F000005FOP,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,91.90%,29.27,1.05,30.71,3.71,0.9,2.81,27.9,27.9,-0.45
abrdn MyFolio Managed II Inst Acc,F00000JYZK,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,94.53%,54.32,1.03,55.86,4.58,1.54,3.03,52.82,52.82,-0.77
abrdn MyFolio Market II Inst Acc,F00000JYZ0,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,94.89%,55.19,1.03,56.61,4.41,1.61,2.8,53.81,53.81,-0.81
abrdn MyFolio Monthly Inc II P1 Acc,F00000OPTB,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,89.15%,62.51,1.05,65.86,10.23,3.7,6.53,59.33,59.33,-1.85
abrdn MyFolio Multi-Manager II Inst Acc,F00000JYZA,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,91.91%,56.47,1.04,58.76,6.81,2.32,4.49,54.26,54.26,-1.16
ACUMEN Portfolio 3 Acc,F00000Z0GS,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,81.56%,27.46,1.13,30.94,8.33,1.76,6.57,24.37,24.37,-0.88
Aviva Investors Distribution 1 GBP Inc,F0GBR04DCG,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,89.05%,69.11,1.06,73.19,12.6,4.68,7.92,65.27,65.27,-2.34
Aviva Investors MA Plus I 8 GBP Acc,F00000PWP8,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,88.22%,18.75,1.09,20.38,4.92,1.8,3.12,17.25,17.25,-0.9
AXA Defensive Distribution Z Acc Gross,F000000EEG,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,86.88%,48,1.08,52.07,14.57,6.75,7.82,44.25,44.25,-3.37
AXA/AB Invmt AB Glbl Strat 30/70 œ V2GBP,F00000T75L,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,89.77%,21.79,1.07,23.32,6.8,3.83,2.97,20.35,20.35,-1.92
Barclays GlobalBeta Port 1 A Acc GBP,F000002NEU,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,91.86%,20.49,1.05,21.52,4.78,2.76,2.02,19.5,19.5,-1.38
Barclays Multi-Asset Bal Inc B Dis GBP,F00000MARM,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,92.48%,81.48,1.03,84.23,9.58,4.18,5.4,78.83,78.83,-2.09
Barclays MultiManager Port 1 R Dis GBP,F000002TBK,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,93.74%,32.72,1.03,33.78,4.55,2.44,2.1,31.68,31.68,-1.22
Barclays Wealth Global Mkts 1 R Acc GBP,F00000MARO,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,91.73%,19.93,1.05,20.96,4.86,2.85,2.01,18.95,18.95,-1.43
BlackRock Consensus 35 D Acc,F00000OMU6,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,95.04%,35.77,1.03,36.9,3.62,1.39,2.23,34.67,34.67,-0.69
BlackRock Managed Volatility,F00000P25N,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,93.60%,28.22,1.04,29.31,3.17,1.01,2.16,27.16,27.16,-0.51
Blackrock UK Managed Volatility I C œAcc,F00000WHSZ,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,79.35%,19.53,1.16,22.6,7.53,1.81,5.72,16.88,16.88,-0.91
BNY Mellon Mlt-Asst Divers Ret GBP Inc,F0000003S6,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,86.65%,67.81,1.07,72.53,11.12,2,9.12,63.4,63.4,-1
CCLA Diversified Income 2 GBP Inc,F00000YD7Z,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,80.98%,45.53,1.13,51.36,11.67,0.66,11.01,40.35,40.35,-0.33
Coutts Multi Asset Glbl Def A GBP Inc,F00000PXUL,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,87.32%,44.93,1.07,48.19,7.95,1.65,6.3,41.89,41.89,-0.82
Coutts Multi Asset UK Defensive A œ Inc,F00000PXU2,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,94.88%,41,1.03,42.24,4.84,2.39,2.45,39.79,39.79,-1.19
CT Managed Bond Fcs Z Grs GBP Acc,F000016MVH,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,95.81%,38.18,1.03,39.17,3.2,1.26,1.94,37.23,37.23,-0.63
CT MM Lifestyle 3 B Acc,F00000RZO0,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,92.53%,40.56,1.04,42.31,4.72,1.29,3.43,38.88,38.88,-0.64
Davy UK GPS Cautious Growth A GBP Acc,F00000WBDT,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,95.67%,30.71,1.03,31.53,2.07,0.46,1.62,29.92,29.92,-0.23
Dimensional World Allc 40/60 GBP Acc,F00000NGS1,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,96.29%,47.23,1.02,48.11,3.62,1.87,1.75,46.36,46.36,-0.93
DMS Stirling House Monthly Inc Ret Acc,F00000PR3B,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,92.72%,39.46,1.05,41.24,8.28,4.79,3.49,37.75,37.75,-2.39
EF Brompton Global Cnsrv B GBP Acc,F00000S8GL,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,85.83%,43.83,1.08,47.4,7.87,0.99,6.87,40.53,40.53,-0.5
EF Brunswick Diversified Port B Acc GBP,F0GBR06UGV,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,93.39%,54.64,1.04,56.7,4.71,0.67,4.03,52.66,52.66,-0.34
EF New Horizon Cautious B Inc,F0GBR06952,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,88.04%,47.3,1.07,50.43,7.94,1.87,6.08,44.36,44.36,-0.93
EF New Horizon Income B Inc,F0GBR06953,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,83.45%,49.26,1.09,53.67,11.34,2.9,8.44,45.22,45.22,-1.45
Embark Horizon Multi-Asset I Z Acc,F00000VAZ5,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,93.68%,44.27,1.04,46.22,8.36,4.55,3.81,42.41,42.41,-2.27
Evelyn Conservative Clean GBP Acc,F000013T13,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,89.30%,41.11,1.05,43.23,6.39,2.26,4.13,39.09,39.09,-1.13
Evelyn Defensive 200 GBP Acc,F00000ZQQP,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,83.83%,24.49,1.09,26.69,7.56,3.34,4.22,22.48,22.48,-1.67
Fidelity Mlt Asst Allctr Defesv W Acc,F00000PJ3F,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,94.33%,27.7,1.04,28.85,3.09,0.84,2.26,26.6,26.6,-0.42
Fidelity MltAsst Income A Acc,F0000007NC,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,85.84%,53.67,1.07,57.47,11.66,4.33,7.34,50.13,50.13,-2.16
Fidelity MltAsst Open Def W Acc,F00000Q5LW,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,92.02%,38.83,1.04,40.42,6.9,3.79,3.11,37.31,37.31,-1.89
FP Apollo Multi Asset Cau D GBP Acc,F000002Y72,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,83.17%,68.44,1.08,74.12,13.95,3.04,10.91,63.2,63.2,-1.52
FP Russell Invsmts Multi Asst Gr I C Acc,F00000WFW3,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,93.21%,43.01,1.04,44.62,4.73,1.56,3.16,41.45,41.45,-0.78
GAM Star Defensive Instl GBP Acc,F00000PIKC,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,89.03%,54.23,1.05,57.04,8.69,3.21,5.48,51.56,51.56,-1.61
GAM Star Global Defensive G GBP Acc,F00001B3OE,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,88.99%,54.22,1.05,57.03,8.74,3.25,5.49,51.54,51.54,-1.62
Handelsbanken Defensive MA HVAcc,F000015H98,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,87.83%,29.27,1.07,31.24,5.42,1.61,3.81,27.43,27.43,-0.81
HSBC Global Strategy Cnsv Port AC,F00000ZDXW,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,94.74%,43.17,1.03,44.54,3.57,0.87,2.7,41.84,41.84,-0.43
HSBC World Selection Conser Port Acc C,F00000UOBP,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,92.31%,50.17,1.04,52.27,5.58,1.46,4.12,48.16,48.16,-0.73
HSBC World Selection Intst Inc C Acc,F00000OWOR,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,90.51%,57.59,1.05,60.37,7.77,2.34,5.43,54.94,54.94,-1.17
IFSL Equilibrium Cau Port A GBP Acc,F00000ZR07,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,90.26%,61.83,1.05,64.95,8.15,2.07,6.08,58.87,58.87,-1.04
Janus Henderson Core 3 Income I Acc,F00000OTKV,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,85.59%,35.64,1.08,38.43,7.75,2.37,5.38,33.05,33.05,-1.19
Janus Henderson Mlt-Mgr Divers A Acc,F0GBR04DXP,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,89.68%,46.18,1.05,48.7,7.3,2.38,4.92,43.78,43.78,-1.19
Jupiter Merlin Conservative I Acc,F00000OUI7,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,87.34%,38.71,1.08,41.84,7.08,1.05,6.03,35.81,35.81,-0.53
Jupiter Multi-Asset Income Fund L Acc,F0GBR04KDP,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,87.23%,35.46,1.09,38.56,8.78,2.84,5.95,32.61,32.61,-1.42
L&G Mixed Investment 0-35% R Acc,F0000043LM,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,94.41%,49.04,1.03,50.53,4.2,1.24,2.95,47.58,47.58,-0.62
L&G Mixed Investment Income 0-35% C Acc,F00000W8AR,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,92.62%,55.43,1.04,57.55,6.66,2.5,4.16,53.39,53.39,-1.25
L&G Multi-Index 4 I Acc,F00000PTMF,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,96.89%,53.08,1.02,53.94,2.51,0.8,1.71,52.23,52.23,-0.4
L&G Multi-Index Income 4 C Inc,F00000W8MJ,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,94.61%,55.61,1.03,57.16,4.9,1.85,3.05,54.11,54.11,-0.92
LF Canlife Managed 0%-35% C Acc,F00000YFWL,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,90.62%,35.9,1.06,38.01,7.55,3.44,4.11,33.9,33.9,-1.72
LF Canlife Portfolio III C Acc,F00000RFWL,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,93.31%,31.91,1.05,33.4,3.59,0.67,2.92,30.49,30.49,-0.34
LF Prudential Risk Managed Actv 1 C Inc,F000011GZB,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,77.48%,44.76,1.13,50.44,13.72,3,10.72,39.72,39.72,-1.5
LF Prudential Risk Managed Pasv 1 A Acc,F0000004K4,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,89.86%,51.58,1.05,54.13,7.93,2.96,4.97,49.15,49.15,-1.48
Libero Cautious LAPS Instl Acc,F00000JO9N,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,94.09%,21.13,1.04,21.92,4.54,2.98,1.56,20.36,20.36,-1.49
Liontrust MA Active Reserve R Acc,F0000007NN,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,75.86%,18.7,1.19,22.24,7.84,1.33,6.51,15.72,15.72,-0.66
Liontrust MA Blended Reserve A Inc,F00000P5T3,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,91.71%,37.96,1.05,39.96,5.58,1.68,3.9,36.06,36.06,-0.84
Liontrust MA Monthly High Inc R Acc,F0GBR04EDK,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,79.10%,57.04,1.11,63.25,16.32,4.51,11.81,51.44,51.44,-2.26
Liontrust MA Passive Prudent R Acc,F00000NDP3,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,94.99%,26.99,1.03,27.82,3.23,1.6,1.63,26.19,26.19,-0.8
Liontrust MA Passive Reserve R Acc,F00000M89U,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,95.06%,38.27,1.03,39.47,5.36,2.99,2.38,37.1,37.1,-1.49
Liontrust Sust Fut Defesv Mgd 3 Net Inc,F00000TWZY,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,89.39%,60.12,1.06,63.81,9.06,1.88,7.18,56.64,56.64,-0.94
MGTS Future Money Real Value Acc,F000002T5E,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,94.87%,44.53,1.03,45.8,4.29,1.79,2.5,43.3,43.3,-0.89
MGTS IBOSS 1 R Acc,F00000X11R,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,94.10%,33.32,1.03,34.42,3.54,1.37,2.17,32.25,32.25,-0.68
MI Charles Stanley Monthly Hi Inc Acc,F000000HXO,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,86.83%,44.09,1.08,47.55,8.8,2.14,6.66,40.88,40.88,-1.07
MI Charles Stanley Multi Asst2 Cau AœAcc,F00000Z11R,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,88.95%,44.08,1.06,46.6,6.62,1.72,4.9,41.7,41.7,-0.86
Nedgroup Inv MultiFunds Income GBP A Acc,F00000NORC,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,81.44%,20.51,1.13,23.14,8.25,3.3,4.96,18.18,18.18,-1.65
Ninety One Diversified Income A Acc œ,F0GBR04RO5,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,75.09%,32.86,1.14,37.32,11.82,3.42,8.39,28.93,28.93,-1.71
Pacific Multi-Asset Acc Defesv GBP Inst,F00000YGAG,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,83.46%,21.92,1.09,23.96,8.76,4.86,3.91,20.06,20.06,-2.43
Personal Portfolio 2 A Acc,F00000ZAV0,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,98.50%,44.34,1.01,44.72,1.23,0.48,0.75,43.96,43.96,-0.24
Premier Miton Defensive Mlt-Asst A Acc,F0GBR04GRC,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,86.33%,31.93,1.08,34.52,5.6,0.61,4.99,29.53,29.53,-0.31
Pyrford Glbl Tot Ret(Sterling)A GBP Acc,F00000GUPK,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,78.18%,20.18,1.15,23.22,13.2,7.52,5.68,17.54,17.54,-3.76
Quilter Inv Cirilium Cnsrv Pasv R,F00000PF7L,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,96.10%,26.45,1.03,27.14,2.45,1.08,1.37,25.78,25.78,-0.54
Quilter Inv Creation Cnsrv A (GBP) Acc,F000002BU5,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,90.09%,43.26,1.05,45.49,6.76,2.41,4.34,41.15,41.15,-1.21
Quilter Investors Cirilium Cnsrv R,F00000O4T4,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,82.48%,59.6,1.09,64.86,14.48,4.38,10.1,54.76,54.76,-2.19
Rathbone Multi Asset Total Return R Inc,F000005MKL,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,90.18%,28.75,1.06,30.38,5.49,2.33,3.16,27.21,27.21,-1.17
Rathbone SICAV MA Ttl Ret Acc L1 GBP,F00000XNNE,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,90.51%,30.95,1.05,32.65,5.29,1.98,3.31,29.34,29.34,-0.99
Royal London Cautious Managed A Acc,F00000W1WK,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,94.78%,24.97,1.03,25.77,2.62,1.05,1.57,24.19,24.19,-0.52
Royal London GMAP Defensv M GBP Acc,F00000X14T,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,84.24%,29.67,1.09,32.41,8.51,3.26,5.25,27.16,27.16,-1.63
Royal London Sustainable Mgd Gr C Acc,F00000PGEP,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,91.87%,46.35,1.05,48.65,9.01,4.51,4.5,44.15,44.15,-2.26
Santander Atlas Income Portfolio IA,F000003YMS,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,91.64%,56.07,1.04,58.56,6.91,2.04,4.86,53.69,53.69,-1.02
Santander Atlas Portfolio 4 II,F0GBR04TFL,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,94.11%,46.44,1.03,47.88,3.66,0.82,2.84,45.05,45.05,-0.41
Santander Max 30% Shares Income Port RI,F00000UO0C,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,91.13%,46.44,1.05,48.83,10.17,5.52,4.65,44.18,44.18,-2.76
Santander Max 30% Shares Portfolio RA,F00000UG8O,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,89.90%,34.31,1.06,36.49,5.69,1.45,4.24,32.25,32.25,-0.73
Santander Multi Index 2 RA,F00000WX7G,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,94.96%,47,1.03,48.38,3.98,1.27,2.71,45.67,45.67,-0.63
Sarasin IE Multi Asset Defensv GBP A Inc,F0000008DE,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,91.20%,31.46,1.05,33.06,3.82,0.69,3.14,29.93,29.93,-0.34
Sarasin Income and Reserves A GBP Acc,F0000102XI,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,93.89%,33.99,1.04,35.35,6.27,3.6,2.67,32.69,32.69,-1.8
Schroder Managed Defensive F Acc,F000010PZ3,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,83.41%,19.43,1.12,21.73,7.44,3.08,4.36,17.37,17.37,-1.54
Schroder MM Diversity A Inc,F0GBR0574M,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,64.74%,42.5,1.25,53.06,25.36,6.34,19.01,34.05,34.05,-3.17
Schroder Tactical Portfolio 3 F Acc,F00000YK95,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,93.51%,30.76,1.05,32.18,2.96,0.18,2.79,29.39,29.39,-0.09
Scottish Widows Cau Inc Port 1 A Acc,F0GBR056EC,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,91.90%,35.89,1.05,37.58,4.67,1.37,3.3,34.28,34.28,-0.68
Scottish Widows Cau Inc Port 2 A Acc,F0GBR056EA,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,92.35%,42.66,1.04,44.48,5.93,2.36,3.57,40.91,40.91,-1.18
Scottish Widows Cautious Gr F Acc,F00000JYXK,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,90.02%,43.02,1.06,45.54,6.35,1.45,4.91,40.63,40.63,-0.72
SEI GAF Conservative GBP Wealth A Inc,F00000GW7U,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,87.81%,17.36,1.08,18.71,6.29,3.69,2.6,16.11,16.11,-1.84
SPW Cautious Solution G Acc,F00001496P,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,88.40%,42.5,1.07,45.32,7.54,2.06,5.47,39.85,39.85,-1.03
SPW Discovery Solution G Acc,F00001496U,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,90.29%,58.73,1.05,61.73,8.19,2.33,5.86,55.87,55.87,-1.16
St James & Place Global Absolute Ret Acc,F000000EN0,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,80.55%,26.59,1.11,29.62,10.52,4.78,5.74,23.88,23.88,-2.39
SVS Brooks Macdonald Blprnt Def Inc BInc,F0GBR06OG7,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,89.93%,44.61,1.06,47.09,5.84,1,4.84,42.26,42.26,-0.5
SVS Brown Shipley Cautious A Acc,F00000TY7H,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,90.84%,43.62,1.06,46.05,5.48,0.74,4.74,41.32,41.32,-0.37
SVS Church House Tenax AbsRt Strts B Acc,F000003W60,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,82.90%,18.86,1.09,20.64,8.71,5.3,3.41,17.23,17.23,-2.65
SVS Cornelian Cautious E Acc,F0GBR06OVN,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,92.16%,51.42,1.04,53.48,5.59,1.54,4.05,49.43,49.43,-0.77
SVS Cornelian Cautious RMP G GBP Acc,F00000Y84V,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,93.91%,45.22,1.03,46.75,3.88,0.88,3.01,43.75,43.75,-0.44
SVS Cornelian Defensive D Acc,F00000HHFU,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,89.76%,37.18,1.05,39.22,5.84,1.87,3.97,35.24,35.24,-0.93
SVS Cornelian Defensive RMP G GBP Acc,F00000Y84Z,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,91.72%,32.76,1.05,34.36,4.71,1.59,3.12,31.24,31.24,-0.8
Thesis Brunsdon Cautious Growth C,F00000V6PR,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,92.40%,45.05,1.04,46.98,4.46,0.68,3.78,43.2,43.2,-0.34
TM UBS (UK) - Global Yield F Acc,F00000TQLH,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,94.37%,52.92,1.03,54.54,4.05,0.88,3.18,51.36,51.36,-0.44
True Potential Defensive A Acc,F000010I4A,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,92.35%,27.16,1.04,28.19,5.26,3.23,2.03,26.16,26.16,-1.62
True Potential Defensv 2 A GBP Inc,F00000W029,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,90.77%,19.43,1.06,20.57,4.68,2.46,2.22,18.35,18.35,-1.23
True Potential Defensv 6 A GBP Acc,F00000XMY7,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,94.09%,26.94,1.03,27.77,7.19,5.55,1.63,26.14,26.14,-2.78
True Potential Defensv 7 A Acc,F00000WT79,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,94.37%,28.13,1.03,28.97,3,1.35,1.65,27.32,27.32,-0.68
Vanguard LifeStrategy 40% Equity A Acc,F00000MLUM,EAA Fund GBP Allocation 20-40% Equity,Pound Sterling,99.46%,43.66,1,43.81,1.03,0.74,0.29,43.52,43.52,-0.37
